label,message
0,"son,amader hostel fees 3 theke 5 hazar hoeche tai je draft banabi session fees r otate agerbar je <#> r baniyechili tate 2 hazar add kore niye draft banas."
0,hey u tonight need to assignment or study for exam??
0,that\
0,y so emo just now
0,haha okay (:
0,m asking the place whr u go for spanish class.
0,lol i heard he was damn loud!
0,ü giving tuition rite? ya applied for local ü
0,ll b at e booth there at abt 130...
0,assignment laya ha??
0,"sastra means i vil tel abt d faculty,subject,n its tie up with companies"
0,should be this saturday if mum allows.
0,i'll be in sch fr 4-6... i dun haf da book in sch... it's at home...
0,helo 1na chat with me?
0,ohh right okay thanks! (:
0,lol dun even know what to comment bout him.
0,sup?
1,"you 07801543489 are guaranteed the latests nokia phone, a 40gb ipod mp3 player or a â£500 prize! txt word:collect to no:83355! tc-llc ny-usa 150p/mt msgrcvd18+"
0,ya
0,tu kahan hai?
0,xy:yup i told her i not sure if i working or not. then u all go ahead n plan without me lor...
0,u desrv it.
0,all the best for your exams!!
0,yea. reading manga lo. u wan gym den eat not? hostel food sux
0,just go to hell yes you u only ! because only you can change hell into heaven by your sweetness.gn.abhi - sent via way2sms.com
0,'pick up some beer on your way back. ;
0,i know tt sweety. i love u always too. muuugs
0,whoa..with friends or fam?
0,<#> min sweetie
0,0hk bro enjy thn.. c u latr
0,call me if u wanna work over this weekend as an exhibition agent ofglobal yellow pages. the rate is $6/hr. at tampines mall. fri signcontract and short training at 5pm. sat work from <#> am to <#> pm.sun is from 9am to 5pm. i\
0,hahaha then how do you wake up!!! omg hahaha so far!! where did yougo in orchard!! i went h&m on saturday:d
0,u can try reading the notes
0,haha with who?
0,ll ask others..
0,i cant pick the phone right now. pls send a message
0,ok
0,m at e quiet corner k..
0,lol why eh. some people stalking you?
0,caaaw caw
0,yo come over carlos will be here soon
0,haha maybe! see first ah! yeah you can poke me aft that:p it\
0,"hi, can i please get a &lt;#&gt; dollar loan from you. i.ll pay you back by mid february. pls."
0,nah i booking tonight
0,lol cny day 1 is this thurs leh?
0,we\
0,"wa, so late den enlisted ah... civil defence not bad wat...my sch term starts nxt wk... enjoy ur wkend den..."
0,ll let me maintain length n jus thin it anot ah? when ur exams starting?
0,didi i am extremely sorry .i wont be able to go. my program has been postponed till tomorrow
0,post!
0,"jin, did you guys manage to present to the class? i saw it was movedto nmrc. i didn\"
0,whats the staff name who is taking class for us?
0,no prob...i heard got new stall leh can go try out.
0,sayang baobei! reach home le ah..
0,ok!! enjoy ur bath. love u dar
0,i thk 530 lor. but dunno can get tickets a not. wat u doing now?
0,<#>
0,yup... how ã¼ noe leh...
0,i dunno haha tmr\
0,hi. so i meet you for dinner later. where do i meet you?
1,"freemsg why haven't you replied to my text? i'm randy, sexy, female and live local. luv to hear from u. netcollex ltd 08700621170150p per msg reply stop to end"
0,"if later, earliest will be abt 4pm."
0,anna sambal poosita varalama? epadi mudium? *send d2d sms @ just <#> cents with budget sms!*
0,ohhno chester says he\
0,m leaving the hse?
1,private! your 2003 account statement for shows 800 un-redeemed s.i.m. points. call 08718738001 identifier code: 49557 expires 26/11/04
0,exactly the same topic...nv change any words in the title atall...lolz...can send me?...
0,"ooh, 4got, i'm gonna start belly dancing in moseley weds 6.30 if u want 2 join me, they have a cafe too."
0,ya lor. i dum dum do project meeting until forget the time. :-(tanwh black black face yesterday ah?
0,help me collect if i nt therew
0,wah siao liao
0,hiya... really works...
0,yeah damn cool! hahaha ooo maybe same thing!
0,"cutest proposal ever: boy:hey,i\"
0,dun mention it... i will tell u the meeting time when i settle the stuffs k... wait for my msg
0,"hey kaixuan, leo here. mr kwok got a project for ex students. heneeds photos of your graduation photo urgently. do you mind if iborrow them?"
0,don\
0,then at least you have enjoyed your life till now. no regrets in the future. biochem\
0,lol yep did that yesterday. already got my fireplace. now its just another icon sitting there for me.
0,'ohh the sign ups are full
0,"try 2 gt sm1 2 pray andrw,he s sufrin,dis wil gt ct,bye,fl lik dyin"
0,no:-)i got rumour that you going to buy apartment in chennai:-)
0,7
0,ya.. was just doing work at a table lol! going for class liao!
0,god bless you
0,ha ok bhai mje <decimal> utha dena plz
0,ya i didn\
0,"wat kind of fren would u be, if u were to leave when ur absence doesn\"
0,solu d
0,that\
0,naughty little thought: \
0,"wow, that was really hard to type."
0,wensin\
0,ya. exam review
0,no.
0,suny.. mje bhul gya?
0,nxt stop simei. u going out ar
0,oh shit that\
0,no use f forcing me...
0,vil cal u
0,k i\
0,no la... i can remember u leavin wed. busy with the training lei... sigh tmr i got fitness test. lolx toot long neva run liao. i think i sure fail 1. :p
0,'good night! :-
0,ok.
0,ok
0,ok i am on the way to railway
0,"i anything. dunno them . btw my fren din get the module, but her frengt it. still gt slot for 1 girl?"
0,then dun wear jeans lor...
0,ok you ask
0,yeap! (:
0,okay. thanks in advance!
0,or i guess &lt;#&gt; min
0,morning sweety! wke up le hee
0,ur wish z imp in dis matr. tel frnkly
0,haha were you on time?
0,hey happy birthday final boss! ps yest slept le
0,haha..good things hafta come to an end..most importantly..you must leave e place without any regrets..
0,"hazelnut mil? tea please! no pearls, <#> %. thank you!"
0,after lesson end lor
1,"urgent ur awarded a complimentary trip to eurodisinc trav, aco&entry41 or â£1000. to claim txt dis to 87121 18+6*â£1.50(morefrmmob. shracomorsglsuplt)10, ls1 3aj"
0,really dun bluff me leh... u sleep early too. nite...
0,hahaha dont worry it will be fun ^^
0,yeap okie thanks alot i go check now
0,haha okay!! i sms wen:d meet at <#> in sch??
0,yes.i'm in office da:)
0,"<#> , <#> , <#> , eg <#> . the other 2 i not so sure."
0,okay cool
0,yes.
0,hahaha dunno leh i haven\
0,say gd morning to u..
0,augh give me a moment i accidentally the usb port need to restart
0,i see haha no la it\
0,yea np
0,lol damnnnnnnn hahaha lol what the we having exams what is there to suan haha
0,i am out here
0,ok thank you so much
0,"yea thanks mr lee. i thinkin is rather relevant by far, with theworks i had done. i will consider it. thanks a lot"
0,eating now?
0,what time you all going down tmr
0,can....
0,<#> for 0..
0,'squeeeeeze!! this is christmas hug.. if u lik my frndshp den hug me back.. if u get 3 u r cute:
0,i\
0,"rofl morning mah. some more weekends, not peak."
0,marcus din inform u? i ask him decide lol cos i just now in a movie
0,haha thurs is baking but i dunno if i wanna go coz it\
0,just checked. dun have sia
0,lol still on your way back home i guess?
0,don\
0,nv wor.. u wan her to help u play ar?
0,yup i msg her but she din reply... leona lei...
0,den ur parents got aggro? eh mon can do wad
0,no. haven\
0,hahaha tell her you\
0,what you doing?
0,2 laptop... i noe infra but too slow lar... i wan fast one
0,i lub u!
0,how\
0,haha alright!
0,hahaha btw you joining us later? 1pm at nyp.
0,that\
0,we are okay. going to sleep now. later
0,haha okay then i stay up until you call? haha hmm not sure then! ithought my dad\
0,ok tues is fine too. i\
0,i dont need help.
0,near imm
0,jiamin!
0,wat ?
0,are you angry with meeeeeeeeeeeeeeee
0,"hi zit seng, min here. wireless connection may be a problem. someteams are now on very slow connections. but we are not sure why. wallstreet journal and engadget are not loading properly as are problemswith the connection to elseviers systems. can you check on it?thanks!"
0,"yun,dun nd hide k,ur classmate,chong kai qin is in same camp as me.u dare mit me at tiong bahru at 1.30pm lah"
0,god created gap btwn ur fingers so dat sum1 vry special will fill those gaps by holding ur hands.. now plz dont ask y he created so much gap between legs !!!
0,cps is causing the outages to conserve energy.
0,r u commin 2 da school 2morow?
0,"hey vik, we make it <#> so i can collect dinner and come"
0,eh might want to grab a table first it looks pretty crowded over here
0,they rock so hard! i\
0,lol stay so near still lateeeee.
0,i know. i\
0,i nid! the new one not as good
0,4 wat ?
0,oh... kay... on sat right?
0,aiyah u did ok already lar. e nydc at wheellock?
0,woah again?! lol you searching for your parrot ring eh.
0,"my most precious girl, lg go slp le. wan an bvlp"
0,we outside emicakes...
0,they keep arguing leh.
0,"hi guys, want 2 chat with a guy?"
0,yea thks! will find a date to meet ya soon eh
0,thks daddy
0,happy new year
0,ü supposed to b on da bus y ü go n eat yoghurt...
0,you call times job today ok umma and ask them to speed up
0,hahas where?
0,it means that we can gym later
0,naice. wo you <#> words!
0,2dy at wat time u r cumng anna?let me knw.bye.god bles u
0,"wow. i never realized that you were so embarassed by your accomodations. i thought you liked it, since i was doing the best i could and you always seemed so happy about ""the cave"". i\"
0,that sounds nice ta x
0,hey.... let\
0,ah
0,u free b4 <#> or after 2?
0,dude i\
0,how come? i got pe lol
0,not getting anywhere with this damn job hunting over here!
0,s school?
0,so where u plannin to go b4 tat?
0,"lol ... oh no babe, i wont be sliding into your place after midnight, but thanks for the invite"
0,damco india private limited
0,"yeow li teng cheryl,s <#> f, <email>err what size should i take? and is there a number 3?"
0,does cinema plus drink appeal tomo? * is a fr thriller by director i like on at mac at 8.30.
0,reach can. i go school first?
0,"ah.. i dum dum, juz board bus . my whiny baobei wait me awhile k"
0,yeah he said min 2 pax. max 4
0,"watching cartoon, listening music &amp; at eve had to go temple &amp; church.. what about u?"
0,i\
0,nan sonathaya soladha. why boss?
0,"early mah, take temp mah."
0,oh my god that\
0,m quite prone 2 falls. lucky my dad at home i ask him come n fetch me already.
0,can we friends
0,slap!!!! weitieng and karyee damn funny haha they check out of hostelalr then just keep staying on with jiayi!!
0,woo hoo! so exciting. see you soon!
0,'how is it?:-
0,"hall... no nd wat, unless u wana stay in hostel... gen goin smu, mich i dunno..."
0,lmao your terrible
0,erm.. tell u wat. u add ur slides thrn send me.. i add to urs.otw toschool nw. ps
0,<decimal>
0,deadline is supposed to train back wat. u go gym urself?
0,"go and fetch mom, call mom now"
0,one senioq akka
0,ndp lo 3days una
0,u can go find him first. i\
0,'hi :
0,excited! 9 pm man vs wild
0,huh what? omg you just woke up? oh revision for the test? isn\
0,you can use it if you want xp
0,just got up. have to be out of the room very soon. â¦. i hadn't put the clocks back til at 8 i shouted at everyone to get up and then realised it was 7. wahay. another hour in bed.
0,rply me ra
0,hey wanna meet for dinner later? having chicken rice. <decimal> pm @potong pasir mrt busstop
1,"congrats 2 mobile 3g videophones r yours. call 09063458130 now! videochat wid ur mates, play java games, dload polyph music, noline rentl. bx420. ip4. 5we. 150p"
0,error
0,i\
0,yup per hour. usually his lessons are <decimal> or 2.
0,<#>
0,<#> <#>
0,nothing ra comig r not
0,that\
0,ball tracking is ok already
0,happy journey
0,is the two exam papers one i think!
0,"sorry light turned green, i meant another friend wanted <#> worth but he may not be around"
0,ü2 got sale got 50 off store wide...
0,grab more opportunities to speed away in a lexus es300! or win $30k of exciting prizes. hurry! send more sms/global sms/mms by 30/4. details at miworld.com.sg
0,hey i think i wont make it at 6 sharp.
0,sorry you guys go ahead
0,u going for ss lecture later?...
0,haha oh ya later i bring you go underpass?
0,bubbletea
0,she gon come soon
0,"fine w me.but fri we go, they say is a long queue thats why we didnt go... u need e flash book? if u wan, remind me tonight then i bring tomw"
0,what modules will u be taking this semester? wanna take 4264 together?
0,hey u done ur case study
0,hey can u extract the points for ur part and put it in the way u wanfor handouts? send me by tonight
0,welcome!
0,we are pleased to inform that your application for airtel broadband is processed successfully. your installation will happen within 3 days.
0,kk. i wait at coffeeshop lo
0,what u eat?
0,science doesn\
0,ok.
0,aa
0,i cant confirm wz u now.. let u noe tmr..
0,"mon okie lor... haha, best is cheap n gd food la, ex oso okie... depends on whether wana eat western or chinese food... den which u prefer..."
0,yeah.
0,s panamax brand...
0,it does it on its own. most of the time it fixes my spelling. but sometimes it gets a completely diff word. go figure
0,sent
0,"do u have the loft address? cause later my dad fetching,me back to np."
0,!!!
0,i am here
0,"hi andreu, try n visit manohaian sir. after u both visit him i can talk 2 him about baba. people like them may kno educated youngsters. v\"
0,yes...meet at 1230 at dohoby ghaut
0,k come by <decimal> i \
0,fri got a <#> mins survey. $5 leh. i signed up for e 2pm slot le.check your email!
0,'s s:
0,i dont understand your message.
0,reach home alr?...rmb to drink a lot of water b4 sleep...btw...i rmbmy timetable wrongly...tuesday i end at 4pm so i can attend the agm at5pm no prob...
0,miss you too. just had lunch...
0,ok sure. tmr i probably can\
0,'brilliant thanks :-
0,haven yet. tmr then eat. hehe. thank you mama
0,im at pink table ... u finish tut then come and look for me lor ...
0,coming..
0,dai
0,"for you, too!"
0,den wat time u wan
0,i think i\
0,tml night he cannot.. what time u can?
0,that\
0,i re-met alex nichols from middle school and it turns out he's dealing!
0,s bday today so we share n treat her to crepes k.
0,yay! china boy happy
0,dsfss
0,"haha.. dunno lehs, just feel that it is a bit unnecessary? lol"
0,eh i go take shower first.. talk to u later
0,<#> mins but i had to stop somewhere first.
0,i\
0,you always make things bigger than they are
0,please sms me the details of tomorrow \
0,i really need 2 kiss u i miss u my baby from ur baby 4eva
0,"kuch,sarawak."
0,yup. anyway monday you not free eh?
0,two to three working days. :-d
0,i\
0,"is that day after tomorrow or next week? and yes, <#> pm is good"
0,hee ^o^ kiss my baobei!! coming out soon!! mig mug
0,hi.. can i get your ear phones for a while.. i will give them in few min..
0,no.
0,mis u da
0,"haha yea but as in the belt to match his pink tie! hahaha ten bucks?i only have one skirt and its denim, so not very formal!"
0,kk np.
0,lulz if anything get <decimal> microfarad capacitors maybe 2 or 3 i\
0,phenol or cyclohexanol more ability? why
0,hmm im still getting people eh. havent really start promoting yet. iwill go to schools next week to get my participants first.
0,"whoa damn good i feel asleep for the last <#> mins! haha poke me ifyou see me in class, i pass you your jacket! hahaha i\"
0,yea. u got watch damien walter? and livewire their handstand andflips too sick le
0,hey bro atleast reply
0,upsetting
0,we reaching soon actually
0,diu le loumou
0,'you akka got extra work to take care both of them:
0,ok...
0,hey.. do u hv my dbms rec?
0,"oh, i will get paid. the most outstanding one is for a commercial i did for hasbro...in august! they made us jump through so many hoops to get paid. still not."
0,message:some text missing* sender:name missing* *number missing *sent:date missing *missing u a lot thats y everything is missing sent via fullonsms.com
0,ay wads ür email? ü got friendster? add me zh0001èn@ntu.edu.sg
0,you go back le?
0,2moro wan go sentosa volleyball
0,np haha
0,haha nono coz i\
0,i suppose i can go over now?
0,cus they need go visit my ah ma den my dad flying at night
0,hmmm... u goin huh... i dunno leh...
0,yeap! mrt! sorry late reply!!!
1,great new offer - double mins & double txt on best orange tariffs and get latest camera phones 4 free! call mobileupd8 free on 08000839402 now! or 2stoptxt t&cs
0,dajjal wil hv one eye !
0,time for school again! woooooo!
0,yeah i turned it off! i didn\
0,ok u can take me shopping when u get paid =d
0,"not much cash, but my state id, cal card, military id, and debit card =/"
0,haha:p thank you! *hug* haha okay (: sad haha i have no hostel tospend time in hahaha! okay (: i\
0,i washing mine lols
0,"chap 3,4,5 examples+ slides"
0,only one lecture today! woohoo! you?
0,"dear ladies and gentlemen, this friday there will be a dinnergathering at telok blangah in a korean bbq restaurant named 2d1n.reservations will be done today at 6pm. we will meet at 7pm on friday,so do let me know. thank you!"
0,see u at 8 at the ru
0,probably around 6?
0,haha okay!
0,meet you at the park
0,hahahaha then i told him i\
0,orange is diclofenac
0,the rest free nt? den u wan to go chiong after dat?
0,"this just sucks so much. you know the fucked up part? if i just letmyself have my compulsions, i would\"
0,<#>
0,xy:need 2 buy clothes 4 my cousin wedding this sunday lah... haiz...
0,"haha i dunno leh, just try bah! let her know you\"
0,ehh sorry i called so early!! what\
0,hahahaha aiyah oops i should be sleeping by that time lol.
0,where got? you go yourself?
0,always don\
0,6598941248 got my msg?
0,okay
0,i wanna watch the horror movie u posted on facebook. go as odacouting? lols u no training meh?
0,hahha!!! huat ah!
0,take care n get well soon
0,"no prob, take your time."
0,haha ya lo... eh u must sleep! u need to wake up so early!
0,haha thanks ah lol. not used to it mah.
0,"good morning! e pe covers all chapters except 8 right? i am so sleepy? btw, u said tt wed want 2 go je huh. ok lor. what is e thing tt can be done there only."
0,omg joanna is freaking me out. she\
0,how will i creep on you now? ;_;
0,no not so early.
0,5min da
0,so gym at 5??
0,'flu
0,lols i signed up too i tink
0,ll keep waiting..
0,k...k:)why cant you come here and search job:)
0,aww okay bah. haha
0,"dear das,wish to intimate that i am leaving to qatar tonight in search of an apt opportunity.look forward to your guidance and patronage.shall keep in touch.regret late sms.regards,rakhesh.kerala."
0,ugh. gotta drive back to sd from la. my butt is sore.
0,oh ok u got it
0,haha okie... i shall go buy best fries later muhahaha
0,"ok thanks, love."
0,so tomorrow u wat time going?
0,wahahaha.
0,"the world is running and i am still.maybe all are feeling the same,so be it.or i have to admit,i am mad.then where is the correction?or let me call this is life.and keep running with the world,may be u r also running.lets run."
0,<#> varudathirku 1murai pookum kurinji malar kuda ungal punnagaiyai parthaal 1naalukku鈥??murai pookum.!鈥┾??〢dhukaga ippadi ellam siricha pookave pookathu.! gud mor
0,haven eat lah just reach home sob sob sob... muhahaha seafood!nomnomnom! dunno leh maybe they siao on want weekend leh...
0,guailan ar. meet at tamp?
0,its worse if if uses half way then stops. its better for him to complete it.
0,when wanna eat
0,hi dad can meet me at <decimal> instead? cos i got class till 6.
0,passport number expiry date issue date and ur ic number
0,thanks. good luck to u too! haha.
0,hahas chem? or physics
0,we at mac. hee.
0,not sure le. mayb u can ask mr lee wee yan
0,so fast?! coming...
0,"could you not read me, my love ? i answered you"
0,pig!!!! we\
0,eh only can use a3 size le...
1,"09066362231 urgent! your mobile no 07xxxxxxxxx won a â£2,000 bonus caller prize on 02/06/03! this is the 2nd attempt to reach you! call 09066362231 asap!"
0,party at 12pm. be ready...
0,call me
0,aww sorry nope bah.
0,so no messages. had food?
0,nus gary. r u benny?
0,"hey, can u guys make it tdy at 5pm?"
0,who is dis
0,scan copy bhaja di hai email id pe vo collect kar lena
0,tmr u fetching mum iszit?
0,ok...i mean its not that i hav anything to hide u know...anyway all my friends think e same of me...dunno y u can pick all e weird things abt me.
0,'an idea can change ur life..but..a girl can change ur idea.so..alwayz change ur girlfrnd to get new ideas.wah wahwhat an idea sir g!... ;-
0,"then their assess are staying kidnapped, they\"
0,oh happy dinner and happy study ba:p
0,it was totally accidental!!!
0,u definitely need a module from e humanities dis sem izzit? u wan 2 take other modules 1st?
0,i wait for you at the bus stop ok? i am on the way. about 1:00pm ok?
0,you still at the game?
0,"hey sorry something came up, i\"
0,the inauguration thing is 9am at uni cultural centre.u know abt it?
0,sorry. you never hear unless you book it. one was kinda a joke--thet were really looking for skinny white girls. the other was one line--you can only do so much on camera with that. something like that they're casting on the look.
0,"lol i think because not fierce enough hahahaha. my hard disk got thesound because i used until almost no space le, that\"
0,yup
0,'carlos took a while (again
0,riiiiight
0,i won\
0,pant utar yar
0,"<name>, can we change to next sunday? i am a quite busy tthis week.sorry about it."
0,"if posibl, cal me at 8 o clk."
0,hi good morning dear
0,yes we are chatting too.
0,hahaha yes and you are supposed to be very tired! lol alright i shantdisturb you le. good night!
0,nope nope! reaching! hahaha friend dun be late!!!
0,'processing request for a refill of inr. <decimal> . (transaction id br <#>
0,how is your course going on?
0,are. no joke
0,kk coming. ps wear contacts for <#> mins
0,s in e matric fair...
0,m free... but not too early...
0,okay i call him later.
0,i love you soo much darling
0,"it,,s a taxt massage....tie-pos argh ok! lool!"
0,coa by t4wk <#> ?
0,deal!
0,for what?
0,:-) yeah! lol. luckily i didn't have a starring role like you!
0,in my home
0,"no need to transfer, just get them view the attached documents thencan already. yeah and then you bring over to him. thanks!"
0,the img from the poster you designed it or taken from the net?
0,normal time 6.30am. my room.
0,reading calvin and hobbes also seems to help lol.
0,"but he uploaded his <#> leh, did u see?"
0,ya i knw u vl giv..its ok thanks kano..anyway enjoy wit ur family wit 1st salary..:-);-)
0,hi. finished da
0,post!
0,oh ya check ur nus mail i tink the marketing study got someone emailsay if for any reason cannot make it can email them.in advance one
0,i tot u already added??
0,where izzit? no swimming though!
0,oh oh... den muz change plan liao... go back have to yan jiu again...
0,hey what decided.
0,reached?
0,h r u?
0,will reach in <#> min
0,when wan to sing?
0,"hey xin, my fren got qns 4 ur bro. com eng is more on hardware or software... do u nd any computing knowledge b4hand? wat do u study abt in tis course..."
0,"'superb thought- ""be grateful that u dont have everything u want. that means u still have an opportunity to be happier tomorrow than u are today."":-"
0,mine was wondering if you could get a ride either to here or from here
0,oh ok.lol later ba lazy now.
0,stil in bed wat abt u?
0,<#>
0,are you online?
0,do not b late love mum
0,hi
0,lols why so random yh? i guess tis week will be busy doing tip. psnxt week den go one ya :/
0,aye. near cl. should reach in ten
0,its near bugis junction..
0,wow:o must be really big and nice! paint pictures of food!!! :d
0,you\
0,met her or just saw her
0,not coming school?
0,'k da:-
1,refused a loan? secured or unsecured? can't get credit? call free now 0800 195 6669 or text back 'help' & we will!
0,dear friend im going to london to complete my p.hd .so i would like to meet you upcoming friday.bye
0,'haha dun want! so weird:p hahaha can de lor!!!! ooo okay! i dunnothough
0,u dint tel anythng properly....
0,its this saturday 6pm @ cityhall mrt.
0,"hasu here is ma adres.. sunny kriplani, <#> sindhi colony, city- nimbahera pin c0de- <#> ,state- rajasthan.. plz try if u cn n dnt write anytng 0n letr.. tc"
0,don\
0,k
0,<email>
0,we must thing our past and future to realise that who is i am
0,"haha no no dun buy for me! hahaha no la i dun think he is reallybroken wrist, just talk that time abit niang! haha yeah very sian!!are you feeling better?"
0,wow wow nice! from your local shop? good deal man
0,faggot siaz squeeze all into my wardrobe. u washed the clothes ar?
0,see first.
0,harlo! when ryan real bday? tot its over?
0,"'""sweet"" sa time dekhkr"
0,sorry haha. my mugging damn fail anyway
0,so u wont be touching mechanics also la. should be in school.
0,"he will, you guys close?"
0,yup. shld be becoz i also didn\
0,okay i am going out for dinner first.
0,you still working?
0,andrew can u pls get an aplicationform? f u r around church. pls
0,hey... so tonite still meetin...
0,hmmm can try.the mission vision how?
0,unhappy ah? then what do you want to do leh?
0,who are you seeing?
0,about <#> .
0,but your brother transfered only <#> + <#> . pa.
0,"mr leong im reaching bendemeer in <#> minutes time, can i meet youto collect the forms?"
0,i wasn\
0,chocolate!
0,den we will still b given student price and loan rite... hey how u noe comin nxt wk?
0,ya... said goin w wawa liao wat.. still muz take mrt ah... haiz...
0,i dun have such shit le... friday whole day sch siaz
0,are you guys planning to meetup today
0,what! what movie? haiyo take so long to decide!
0,where\
0,"our pinky will confirm be gone, even when we live on"
0,just uh stay in the cubicle .-.
0,must learn how to relax
0,yupz... watchin how to lose a guy in 10 days at lido now lor... cos everyone watch oredi so have to watch alone lor...
0,"hello, just a reminder. ulu pandan needs more claim forms, exchangeforms, and we\"
0,k k!
0,haha u tie him how long
0,thanks!
0,talk to g and x about that
0,hmmmmmm okie nothing to do anyway
0,<#>
0,1\
0,dat nokia 7250i is much expensive. 7250 is abt e same with less features. u try out my phone again lor.
0,i want to sent <#> mesages today. thats y. sorry if i hurts
0,sure! can we meet at around 1? or is that too early?
0,kidhar
0,'hi colin
0,"gonna be late, i missed my bus."
0,2molo wat tim eu go home? i need to pass the wood shreds to u. i ve class fr 4-6pm
0,s nothing lah
0,haha i of cos must go fetch my sweet gf mah or how to be a good bf=p... hungry!
0,'happy diwali to you as well! :-
0,hmmm free from <#> to <#> ... why?
0,i am very angry with you today:-@
0,ledu y?
0,hey whats up? u sleeping all morning?
0,ohh ok ask edwin tay open the room!
0,woohoo it\
0,my email: cheoklet@pacific.net.sg do send me the pictures! hugs.
0,why?
0,ü all write or wat..
0,nvm it true wad. help end his misery nia
0,yup damn right. :d
0,eh only can use a3 size le...
0,so you have to take good care yourself rite. go back remember to apply after sun lotion ok? bye
1,hard live 121 chat just 60p/min. choose your girl and connect live. call 09094646899 now! cheap chat uk's biggest live service. vu bcm1896wc1n3xx
0,lol no lah.
0,3mins
0,dear i reach the lib le. laogong dun stress! do it like u practising.hee. mugggggs
0,ok cya at the booth or camp then. thanx.
0,better than i expected! yours? =d
0,up to u
0,hahah.. so late?
0,"hi, hows your sunday going? hey, did you invite me to friendster when i gave ü my email some time ago? juz curious abt this cos i juz read abt it in the papers."
0,eric sent email. please help me follow up as soon as you can.. thanks!
0,haha even if i\
0,one day a crab was running on the sea shore..the waves came n cleared the footprints of the crab.. crab asked: being my frnd y r u clearing my beautiful footprints? waves replied: a fox was following ur footprints to catch you! thats y i cleared it off:) frndsship never lets u dwn :-) gud nyt..
0,maths.. n apka ji?:-/
0,i dint go 1st 3 hrs nah! ask ur day schi frnds!
0,"m leavin 4 two wks...kaiez, u settle w joan first lor..."
0,shall i send that exe to your mail id.
0,huh y lei...
0,really? cause i want the moon...
0,"hey xin ah... u noe e gem modules rite, got gp a and b. den which gp can we choose frm?"
0,green
0,haha the joy of giving is better than receiving. oh who is yvonne?
0,haha want to join us at nus library later?:p
0,so we continue?
0,yo guess what i just dropped
0,haha... hmmm... shant tell u...
0,i love you too crazy. are you feeling okay?
